W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,Tavg,Trip_abs
0.869822629,0.729726924,0.406590683,-0.47747748,-0.908897252,0.921474746,-0.621770679,-0.422678172,0.168086707,-0.575520274,0.173768719,0.315818708,-0.734793062,0.759732456,-0.403398712,0.358509099,-0.327762899,0.101143936,0.554415533,0.578605816,-0.71944173,-0.559021406,-0.759068706,107.3120569,97.67637446
-0.706529173,-0.065189666,0.198180772,-0.70681795,-0.302781986,-0.057464847,-0.920003792,-0.685613813,-0.777485136,0.874447679,0.08803124,0.359639684,0.722448369,0.949569762,0.554197725,-0.602373061,0.204823741,-0.549628086,-0.039655969,0.090695442,-0.976483124,0.227087495,0.343428712,117.2180233,34.32338046
0.762069692,-0.841382339,-0.41269784,-0.554906778,-0.42131489,0.342245921,0.809152201,-0.039839916,0.80293042,0.262120785,-0.209575555,-0.055931437,0.954172638,-0.214865722,-0.618987262,0.238457222,-0.926050339,0.134981248,0.39828297,0.524634598,-0.294851173,-0.54062933,0.96377867,94.8018566,44.05907308
-0.725376821,0.267400376,0.490390924,0.449984476,-0.005129051,0.984664258,-0.060547869,-0.087192103,-0.275517345,0.197054876,0.69263901,-0.790548122,0.920043957,0.107031967,0.620370829,-0.675877246,0.087060715,-0.727231612,-0.472628867,-0.88072366,-0.898401656,-0.835292061,-0.789000939,106.5129492,68.19622946
0.049320506,0.028719618,-0.354294117,-0.989703317,0.73246389,-0.889402145,-0.915219312,-0.861712954,-0.155579438,-0.151024227,-0.523328977,-0.918331173,0.2886934,-0.987922638,-0.853213396,0.723414197,0.830068149,0.899011781,-0.573269234,0.253405033,0.869652216,0.344572183,0.301180701,123.5945117,35.50665055
0.922643731,0.957374356,0.226269597,-0.810211485,-0.216375374,-0.224621708,0.859444155,0.939905039,-0.96295091,-0.211843058,-0.252263053,0.701085334,-0.515712219,-0.939253718,-0.938214622,-0.124091704,-0.171861989,0.160167076,-0.30966987,-0.877414716,-0.02772095,-0.981560313,0.087463648,124.5064181,78.37666469
0.856829348,0.984893491,0.276522466,-0.320819032,0.710325159,-0.131332084,0.835434642,0.31046682,-0.300545102,-0.616644362,0.953154208,0.580548998,0.931333823,-0.596028807,0.728958826,0.170603566,0.107713185,-0.734959858,-0.128492652,-0.707426774,-0.201252715,-0.355343468,-0.685736155,139.1722497,56.74003228
0.531747452,0.13669742,-0.158964668,0.482051602,0.562874203,0.388071407,-0.270903358,0.000731602,0.799695188,0.256554125,0.403183015,0.147714113,-0.529090785,0.653418952,-0.196862049,-0.871836957,0.509002535,-0.413788074,0.070946422,-0.833605537,-0.4403363,-0.894274774,0.630187486,150.3315994,116.1161478
-0.914303848,-0.069785329,-0.532477789,0.623316943,0.478625502,-0.421037292,0.186069601,0.023591227,-0.862219018,-0.323679434,0.223097364,0.784514409,-0.814282697,0.423253285,-0.141587625,0.032341655,-0.801558502,-0.833460261,-0.401090336,0.355783536,-0.366673322,-0.03373839,0.722808247,104.9040362,45.23555091
0.051601448,0.30268317,-0.2222274,0.135443629,0.894679522,0.517711583,-0.680805389,-0.421231851,-0.509783574,-0.304701365,0.373522688,-0.2471389,0.84606639,0.006729158,-0.275663568,-0.949055903,0.414917169,-0.70257045,-0.794434081,-0.239614341,-0.329643276,-0.859770362,-0.019827132,108.9375348,49.36927198
-0.252236815,-0.921737889,-0.157770379,0.773787279,0.514130376,-0.303314257,0.26063134,-0.627722887,0.427421763,0.368916736,-0.230872294,-0.325511939,-0.712583763,0.373870983,-0.724509609,-0.085185096,0.773801221,0.263523267,-0.500641215,-0.455457406,-0.77621486,-0.735138066,0.642438494,137.9952568,96.73686293
0.328410111,-0.422117696,-0.5884578,0.663281302,0.530993494,0.132964003,-0.331546019,0.277663006,-0.255171609,0.948666029,-0.735926936,0.438046326,-0.790571505,0.072566993,-0.427262652,0.061727459,-0.594420159,-0.621426768,0.13034645,-0.567980602,0.611466896,-0.611518319,-0.616671436,93.45212524,75.7452311
-0.930593936,0.910258928,-0.977914874,-0.036075536,0.716244576,0.294781176,-0.933005792,0.051326267,-0.366908377,0.841418135,-0.15407886,-0.607965027,0.300554548,0.76199713,0.483667006,0.96259155,-0.912253698,-0.850942525,-0.575236802,-0.639648845,-0.929148588,-0.636336366,-0.479772396,99.513598,33.90977858
0.867607596,-0.733309902,0.734544537,-0.154092149,0.130799913,0.600201734,0.547186202,-0.86089718,-0.161923283,-0.018328086,0.712325506,-0.781793282,-0.398983381,0.465642644,-0.341343903,0.48337134,-0.937890298,-0.770303421,-0.253842801,0.827959289,0.030532524,0.219902306,0.999067271,104.4627552,88.20125047
0.787618865,-0.755177307,0.979536671,-0.623886424,-0.355550373,0.373319115,0.904442853,0.726479543,0.007774049,0.610099009,0.52403104,-0.33748816,-0.776661279,-0.903014004,0.613075785,0.387414343,0.419922922,0.219875114,-0.249835898,0.627643953,0.322466462,-0.863291663,-0.624717005,137.0295826,37.1202392
-0.074692401,0.892055425,0.956108282,0.874076116,-0.516901793,0.816467478,-0.163718321,0.195080669,-0.628833736,0.65428715,0.184140173,-0.978809028,-0.486607169,-0.770389645,0.768682689,-0.127210956,0.066217417,0.016039889,0.991176669,0.30545185,-0.025481232,0.995643978,-0.971010835,128.8579611,102.4331093
0.876541286,-0.776116498,0.718220172,0.658053108,0.374704806,-0.923436909,0.404271085,-0.794361588,-0.648209824,0.838805221,-0.544198764,-0.885988007,-0.9075641,-0.451368739,-0.277745499,-0.307294709,0.627705414,0.520207753,0.595078881,-0.403504481,-0.34638191,0.086191774,0.285989482,105.4582697,36.43929237
0.027453401,-0.846766886,-0.872076067,-0.32323316,-0.429585895,-0.016318689,0.080265917,0.22427605,0.276889032,-0.453887726,-0.155197316,0.178079086,-0.422468566,0.370694799,0.25989095,-0.248504789,-0.568411828,0.979530239,-0.577438614,-0.268032109,0.275459088,0.415236531,0.905881437,119.0720363,21.58442938
0.604638266,-0.341823394,0.633911025,-0.720909438,0.38115555,0.179460668,0.103109638,0.384382206,0.736867481,0.496783986,0.519900306,0.248836046,-0.217462412,-0.640248923,-0.353416231,-0.323328199,0.135083195,0.242217548,-0.174377571,-0.681496601,0.934313423,-0.286857209,0.041413789,143.7809441,76.13392895
-0.621934151,0.446683012,0.310037322,0.133885686,0.430883061,-0.775857014,0.912851006,-0.963927515,0.112236917,-0.886116376,-0.888989716,0.358062204,0.19733071,0.887994875,-0.547983477,-0.324845546,-0.493714414,0.932266876,0.551684664,-0.751396178,0.513086261,0.6079619,0.206614308,114.3440101,39.41500037
-0.122883568,0.21649622,-0.64421804,0.103479044,0.042450313,0.105778859,-0.070911028,-0.542793653,-0.99659033,-0.701627659,-0.625801949,-0.287942273,0.770544411,0.847477048,0.860660788,0.825335799,-0.991037314,0.553689747,0.360632051,0.311716678,-0.270253512,-0.628763115,-0.051155302,103.7331054,55.42880957
0.563877993,0.77407956,0.556924474,0.016790412,-0.095740891,-0.935907962,-0.144384016,-0.026211388,0.333271997,0.928733293,-0.651341965,0.75498975,-0.870618431,0.389916159,0.553672883,-0.739165567,-0.400410231,-0.068592977,0.555340895,-0.556823539,-0.408403726,-0.132409102,-0.624054369,113.1933194,85.28559038
0.782039078,-0.260617416,0.841486461,0.953476404,-0.297796619,-0.124192333,-0.072133873,0.599047353,0.209675881,0.580436324,-0.719681883,0.682893784,0.063301549,-0.493045155,-0.809658733,-0.764650326,-0.765119943,0.557221174,0.975664138,0.360985334,0.545233581,-0.101913711,0.413826265,139.6265287,44.4094995
-0.79630365,0.374094731,0.763636643,-0.854526564,-0.478092539,-0.677764338,-0.264084702,-0.123919338,0.324575175,-0.575993749,0.205715982,0.822479547,-0.652287333,0.808855535,0.563575498,0.728953683,0.754322233,-0.134357848,0.895416399,-0.089919445,0.976812928,0.434736604,0.969916787,138.8351251,50.2682774
-0.635896008,0.322527947,0.475941575,-0.71063497,0.793011033,-0.975092016,0.021452034,0.155720821,0.381119418,-0.148171121,0.099204211,-0.70675701,0.939501391,0.577085572,0.551569499,0.385159497,0.113018835,0.375107609,-0.68927325,-0.832638749,-0.698877202,-0.390737072,-0.815547381,135.4878135,83.2898496
-0.89997793,-0.535770077,0.158486475,-0.61252718,0.327410176,-0.179774915,-0.613703244,-0.941087653,0.333596821,0.120825411,-0.724953772,0.887087462,0.387735316,0.23033842,0.699433524,0.90998603,-0.698136671,0.378523671,0.847743865,0.186185886,0.069299386,0.741688926,0.800255357,117.2580854,38.38868392
0.507162954,0.764494936,0.679106754,-0.761768711,0.216362178,-0.775690922,-0.845153125,0.444242473,0.119533248,-0.91988812,0.197317478,-0.705755001,0.582895389,-0.166056534,0.404620373,0.518390502,-0.631296758,-0.487179082,0.320806837,-0.00384037,-0.09770609,-0.93122682,0.023450231,108.43222,94.42995387
-0.473153371,0.663008219,-0.786619844,0.736423069,-0.724832338,-0.918512803,-0.837888466,0.842535073,0.014493875,0.248056367,0.883821801,0.041956055,0.018404817,-0.159648784,-0.70895126,-0.711485364,-0.657315856,-0.909038312,-0.920938389,-0.855901719,0.174395473,-0.664779317,-0.728855703,113.5596544,84.18670666
0.763950961,0.499551696,-0.255967918,-0.053329905,-0.20922972,-0.183183401,0.201042599,-0.743481684,0.241937139,-0.938528093,0.374355928,0.8768039,-0.444479492,0.849932284,-0.348692303,0.894033998,0.550643531,-0.528566512,0.444352965,0.989719416,-0.89234707,-0.723070886,0.801268652,137.8193621,85.10700343
0.023048002,-0.071579753,-0.984156569,0.732523229,0.043108174,-0.435115094,-0.541048786,0.151643865,-0.362080498,-0.058436387,-0.9537294,0.876507316,0.709178166,-0.083498266,-0.319873324,0.494206883,-0.939203668,-0.238901375,0.092809453,0.592964186,0.900207956,0.623430392,0.799083104,121.8146713,45.98956066
-0.664099981,0.056363441,0.212496521,-0.098966068,0.074345479,-0.397123021,-0.101277074,-0.392338423,0.84750453,-0.003942196,0.271353251,-0.382082947,-0.125947331,-0.121649482,-0.975345527,0.055222643,0.599345759,-0.872984051,-0.670066813,0.194930263,-0.931062437,-0.510181372,0.861532524,128.2348903,40.60908549
-0.486647756,0.332906491,0.765345053,0.500904252,-0.384651499,0.409009896,0.139055523,-0.297732783,-0.610059841,-0.666373055,0.267981601,0.327662831,-0.084591984,-0.58074026,0.734279068,0.697078485,0.325662089,0.600606045,0.372620661,0.253055088,-0.088062705,-0.707864171,-0.553020997,132.8615169,110.986743
-0.708978333,-0.561450083,-0.312731321,0.949415198,-0.933394268,0.083327405,-0.337008692,0.196456103,-0.387750918,0.487790441,0.935224743,0.971317434,-0.646028351,0.192152663,0.463353925,-0.247051164,0.97581169,-0.226286518,0.041253392,0.721846431,0.042514488,0.249025817,0.224131428,152.6678045,23.92224086
0.71892875,0.045583178,-0.176173493,-0.317356056,-0.061391542,-0.549870998,0.671412095,0.586236534,0.46738026,0.491105163,-0.613048287,-0.827329884,0.819478112,0.386580234,0.469942399,0.712563309,0.566288531,-0.527714451,-0.693680617,0.872569213,-0.06991248,0.304120855,-0.782594903,128.7614968,60.35248618
-0.747197953,0.315376244,-0.720342676,0.668271286,-0.574225832,-0.9788154,0.549295538,-0.088163345,-0.078336615,0.726390093,-0.51139086,0.313109225,0.427939757,0.265454239,-0.442416185,0.02967936,-0.170618686,-0.501911992,-0.524486617,0.435512655,-0.892036333,-0.106245163,-0.247609647,100.8306842,36.69551438
0.862557405,0.739879062,-0.945380468,0.96260608,-0.257694484,-0.667294437,0.822694155,0.580967431,-0.938470221,0.266872786,-0.742330329,0.803323975,0.970187398,-0.010126057,0.830780111,-0.850883839,0.683988518,-0.171293178,-0.294175643,-0.568891198,0.164780993,0.27274768,-0.371686241,142.7821707,37.0238265
0.867032356,0.348023406,0.566292835,-0.166230278,0.575139736,0.139649469,-0.638657378,-0.683372498,0.87879123,-0.178738182,-0.071426093,0.492097659,0.070593764,0.925835103,0.950192845,0.775922246,-0.411930777,-0.677577571,0.750474924,-0.70612845,0.975133108,0.912124264,0.990598202,129.292838,54.18865106
0.409526364,0.981389125,-0.437618319,-0.847887805,0.014502099,-0.05382653,0.76804766,-0.315116919,0.951608412,-0.758354967,-0.919809598,0.03118578,-0.568397839,0.285619404,-0.862519697,0.377645091,-0.24436858,0.220329898,0.526477986,0.403112122,0.88402698,0.499830101,0.236953286,139.960368,44.9658666
0.176777215,-0.170058976,-0.213665331,0.516531654,0.645736054,-0.563905545,0.711190408,0.819865721,-0.387511538,0.569399653,-0.958442959,0.21798285,-0.829511403,0.194118098,-0.404611256,-0.446079432,0.157048684,0.540376344,0.386233376,0.739096538,0.629139069,-0.116952887,-0.492142288,132.2937992,108.4346985
0.91456779,0.619048273,0.573060023,0.256276786,0.500103909,0.916690748,-0.972181178,-0.034586996,0.755459719,0.895082192,0.628397132,0.412223307,-0.414818212,0.380136614,0.480115353,-0.397704764,-0.227155967,0.602552903,-0.423615303,0.650286658,0.860739454,-0.829066909,0.709042455,158.7269865,20.67119894
0.202372392,0.981010787,0.929216173,0.358494495,-0.748629641,-0.442907924,0.143865929,0.117327357,-0.820865859,-0.289497308,0.695339404,0.479375623,0.299791732,-0.52641968,-0.802619231,-0.592290653,0.525629802,-0.632736734,-0.620242014,0.881104205,0.283296798,-0.039572971,0.538531879,125.8368645,88.66526944
0.060680631,-0.680358094,0.868830216,0.031358501,-0.261296021,-0.166411374,-0.7045363,0.831667419,-0.195520284,0.121877986,0.152263791,-0.671600307,0.019063995,-0.146160369,-0.793589086,0.271854414,-0.253254875,-0.107742654,0.93929878,-0.507994753,0.473402788,0.839965801,0.645240377,99.91528546,56.78514454
-0.016303249,0.259878081,0.503800633,-0.558277075,-0.794565092,0.336451974,-0.594770501,-0.891895816,0.620679803,0.661685325,-0.873524838,-0.235502757,-0.79836431,0.784735933,0.083931172,0.297367895,-0.104076695,0.527799327,0.328811844,-0.37330876,-0.324198752,-0.649403234,-0.005663749,114.5830935,31.65926141
-0.911762214,-0.446893665,0.398873876,-0.622246982,-0.259533764,0.726029668,-0.046627214,0.398741304,0.357903938,-0.003157807,0.735393321,-0.349554826,-0.909412091,0.984117385,0.748508939,-0.057694359,-0.313049943,-0.344450699,0.81907577,-0.366857334,-0.827983162,-0.625657809,0.830193011,106.4065,48.1898288
-0.324027212,0.376509679,-0.231089241,0.63822917,-0.859180513,-0.548690747,0.448359614,0.900196182,0.112766404,-0.180676513,0.028076348,-0.08512539,-0.599430685,-0.37830079,-0.608556139,-0.577355919,-0.938202169,-0.607975666,0.736926562,-0.665750853,0.210980066,-0.534548388,0.610795152,90.5387001,87.77231112
-0.563965164,0.742633911,-0.519238176,-0.322397893,-0.087348544,-0.681920875,0.843593741,-0.563824807,0.13505912,0.853268425,0.556814624,0.872376707,0.790433811,-0.423999565,-0.295497979,0.897095438,0.093899018,0.342772046,0.814196516,0.191328838,0.58715645,0.331804159,0.64695791,148.9262797,77.61349405
-0.610722579,-0.073596269,-0.179069604,-0.512008985,-0.047501836,0.769368992,-0.669670184,-0.253562819,0.736395241,-0.283347896,-0.670494035,0.902026899,-0.787583597,0.301127187,0.441832565,-0.720709342,0.907968597,0.013379899,-0.060795878,0.232265879,-0.361946236,-0.801558167,-0.765286804,133.7072976,45.84627193
-0.60222157,0.931742285,0.59881483,0.920117272,0.702635147,0.445843576,0.316573581,0.005975403,0.886028931,-0.485776458,0.824214917,0.461422523,0.991757993,-0.512510374,-0.011217044,0.34242334,0.032735842,0.946042871,-0.211587139,0.442023575,0.679399659,0.84305616,-0.386863545,137.94092,21.69900554
0.582778396,0.578358874,-0.276982871,0.157367449,-0.686108518,-0.69964645,-0.356549282,0.750232287,-0.211106765,-0.440282062,-0.378758974,0.290916361,0.295054547,0.587736132,-0.114399511,-0.617864193,0.078802669,-0.575787406,0.874233788,-0.437198112,-0.047150762,0.065432471,-0.390159959,109.0168644,59.0964137
0.154815057,0.108626528,-0.946112595,-0.026943173,-0.527891624,0.371905439,-0.726540569,0.171211746,-0.396884017,-0.778227861,0.531928863,0.656755118,-0.859199725,-0.991359165,-0.76961814,-0.058356324,-0.978566238,0.20394899,-0.932008082,0.384262105,-0.845517136,0.555164298,-0.800019354,88.23366451,54.07099129
0.937207808,0.699878313,0.711848721,0.955384091,-0.79365695,0.504596257,0.996285451,0.136771745,-0.462118244,-0.472887217,0.76434069,-0.231694925,0.879814495,0.276042668,-0.862819625,-0.12845466,0.364818293,0.310257476,-0.138000002,-0.169834023,0.737411703,-0.487468116,0.073050959,152.0077394,55.45183248
-0.006147429,0.971306142,-0.55223231,0.605304526,-0.863897905,-0.261446568,-0.316401763,0.541563118,-0.290663688,0.488023647,-0.142121786,-0.183275336,0.114947603,-0.967179729,0.104960063,0.464877543,0.663735105,-0.89958516,0.04825082,-0.625813068,0.809698413,0.263585714,0.445803104,142.8090813,42.57491352
0.050473873,-0.750962151,0.927169614,0.354766328,-0.891827394,-0.926931608,0.95984628,0.678618132,-0.316809,-0.156510172,0.536088638,0.378267151,-0.902654187,-0.332651109,0.14204052,-0.898954036,0.809793149,0.676689701,0.972195739,0.077503882,-0.015332823,-0.3531243,0.242009022,151.4189761,90.21396583
0.39652807,0.17686685,0.39579332,0.300206588,-0.835767362,0.434716707,0.802385247,0.138749755,0.832962567,-0.140203198,0.381855923,-0.545414604,0.927541225,0.093811904,-0.790302784,-0.547701409,0.633167611,-0.404929626,0.284767186,0.310849392,-0.72564728,-0.952695674,0.470302918,148.1536436,39.56927396
